user_id,age,gender,hobby,budget,travel_style,destination_city,destination_country,activities,climate,rating
1,23,Male,History,Low,Group,Rome,Italy,"Ancient Ruins, Museums",Mediterranean,4.2
2,29,Male,Foodie,Medium,Couple,Bangkok,Thailand,"Street Food, Markets",Tropical,3.7
3,43,Male,History,Low,Couple,Cairo,Egypt,"Pyramids, Museums",Desert,3.2
4,28,Female,Beaches,Medium,Solo,Phuket,Thailand,"Island Hopping, Beaches",Tropical,4.3
5,28,Male,Foodie,Medium,Couple,Lyon,France,"Gourmet Dining, Cafes",Mild,4.5
6,29,Non-binary,Photography,Low,Family,Santorini,Greece,"Sunsets, Scenic Views",Warm,4
7,62,Male,Hiking,High,Family,Nepal,Nepal,"Himalayan Trekking, Nature Exploration",Mountainous,4.6
8,37,Non-binary,Wildlife,Low,Solo,Kruger,South Africa,"Big 5 Safari, Game Drives",Savannah,4.4
9,24,Male,Photography,High,Couple,Kyoto,Japan,"Temples, Street Photography",Temperate,3.2
10,23,Female,Hiking,Low,Business,Nepal,Nepal,"Himalayan Trekking, Nature Exploration",Mountainous,4.1
11,40,Female,Art,Medium,Solo,Vienna,Austria,"Classical Art, Museums",Continental,4.4
12,19,Male,History,Medium,Couple,Athens,Greece,"Historical Sites, Cultural Tours",Warm,4.5
13,43,Female,Music Festivals,Low,Family,Berlin,Germany,"Electronic Music, Nightlife",Temperate,4.1
14,49,Female,Art,Medium,Couple,Vienna,Austria,"Classical Art, Museums",Continental,4.2
15,20,Female,Photography,High,Solo,Santorini,Greece,"Sunsets, Scenic Views",Warm,4.5
16,27,Male,History,Low,Solo,Cairo,Egypt,"Pyramids, Museums",Desert,4.4
17,40,Female,Wildlife,High,Solo,Galápagos,Ecuador,"Marine Wildlife, Nature Exploration",Tropical,4.6
18,48,Female,Art,Medium,Solo,New York,USA,"Museums, Street Art",Varied,4.1
19,47,Female,Hiking,Low,Couple,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,3.9
20,31,Male,History,High,Couple,Beijing,China,"Great Wall, Palaces",Temperate,3.9
21,25,Non-binary,Beaches,High,Couple,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,4.7
22,24,Male,Beaches,Medium,Couple,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,3.5
23,39,Male,Photography,Low,Couple,Santorini,Greece,"Sunsets, Scenic Views",Warm,3.9
24,42,Female,Wildlife,Low,Family,Galápagos,Ecuador,"Marine Wildlife, Nature Exploration",Tropical,3.4
25,49,Female,History,Low,Group,Rome,Italy,"Ancient Ruins, Museums",Mediterranean,4.7
26,52,Male,Hiking,Medium,Solo,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,4.4
27,40,Male,Foodie,High,Solo,Osaka,Japan,"Street Food, Nightlife",Temperate,3.5
28,31,Female,Hiking,High,Family,Banff,Canada,"Lake Trails, Snow Hiking",Cold,4.3
29,31,Female,Beaches,High,Family,Bali,Indonesia,"Surfing, Relaxing",Tropical,3.9
30,47,Female,Hiking,High,Family,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,3.6
31,37,Male,Foodie,Low,Family,Bangkok,Thailand,"Street Food, Markets",Tropical,4.4
32,36,Female,Photography,Medium,Solo,Istanbul,Turkey,"Architecture, Markets",Temperate,3.4
33,27,Female,Music Festivals,Medium,Group,Barcelona,Spain,"Beach Parties, Music Events",Mediterranean,3.4
34,26,Male,Foodie,Low,Solo,Istanbul,Turkey,"Local Cuisine, Bazaar Tours",Temperate,4.1
35,43,Female,Wildlife,Medium,Couple,Nairobi,Kenya,"Safari, Nature Parks",Savannah,3.9
36,20,Female,Beaches,Low,Solo,Phuket,Thailand,"Island Hopping, Beaches",Tropical,4
37,33,Non-binary,Foodie,High,Group,Lyon,France,"Gourmet Dining, Cafes",Mild,4.4
38,45,Male,Hiking,Low,Family,Patagonia,Argentina,"Trekking, Glaciers",Cold,3.8
39,41,Male,Wildlife,Medium,Business,Kruger,South Africa,"Big 5 Safari, Game Drives",Savannah,4.9
40,45,Female,Photography,Medium,Family,Paris,France,"Landmarks, Museums",Mild,4
41,44,Female,History,High,Group,Rome,Italy,"Ancient Ruins, Museums",Mediterranean,3.7
42,49,Female,Beaches,Medium,Family,Phuket,Thailand,"Island Hopping, Beaches",Tropical,4
43,23,Male,Art,Medium,Solo,Vienna,Austria,"Classical Art, Museums",Continental,3.2
44,18,Female,Beaches,Low,Solo,Maldives,Maldives,"Luxury Resorts, Scuba Diving",Tropical,4.2
45,26,Female,Art,Medium,Solo,New York,USA,"Museums, Street Art",Varied,3.8
46,58,Female,Foodie,Medium,Business,Lyon,France,"Gourmet Dining, Cafes",Mild,4.9
47,45,Male,Beaches,Medium,Solo,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,3.7
48,27,Male,Photography,Low,Couple,Paris,France,"Landmarks, Museums",Mild,4.8
49,44,Male,Beaches,High,Family,Bali,Indonesia,"Surfing, Relaxing",Tropical,4.6
50,21,Male,Beaches,Medium,Family,Maldives,Maldives,"Luxury Resorts, Scuba Diving",Tropical,4.9
51,32,Male,Photography,Medium,Couple,Istanbul,Turkey,"Architecture, Markets",Temperate,4.9
52,18,Female,Hiking,Medium,Solo,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,3.3
53,35,Female,History,Medium,Solo,Beijing,China,"Great Wall, Palaces",Temperate,5
54,32,Female,Photography,High,Family,Istanbul,Turkey,"Architecture, Markets",Temperate,4
55,28,Female,History,High,Couple,Beijing,China,"Great Wall, Palaces",Temperate,5
56,30,Male,Wildlife,High,Solo,Nairobi,Kenya,"Safari, Nature Parks",Savannah,4.1
57,28,Female,Art,Medium,Group,Florence,Italy,"Art Galleries, Architecture",Mediterranean,3.8
58,28,Male,Music Festivals,Medium,Group,Berlin,Germany,"Electronic Music, Nightlife",Temperate,4.4
59,18,Female,Wildlife,Medium,Group,Kruger,South Africa,"Big 5 Safari, Game Drives",Savannah,3.4
60,50,Female,Art,Low,Group,Amsterdam,Netherlands,"Van Gogh Museum, Art Districts",Mild,3.8
61,29,Female,Beaches,Medium,Solo,Bali,Indonesia,"Surfing, Relaxing",Tropical,4.5
62,32,Non-binary,Wildlife,High,Family,Nairobi,Kenya,"Safari, Nature Parks",Savannah,3.7
63,18,Male,Foodie,Medium,Family,Istanbul,Turkey,"Local Cuisine, Bazaar Tours",Temperate,3.8
64,28,Female,Art,Medium,Group,Amsterdam,Netherlands,"Van Gogh Museum, Art Districts",Mild,4
65,41,Male,History,Low,Family,Cairo,Egypt,"Pyramids, Museums",Desert,4.7
66,40,Male,Photography,Low,Business,Kyoto,Japan,"Temples, Street Photography",Temperate,4.4
67,46,Non-binary,History,High,Family,Cairo,Egypt,"Pyramids, Museums",Desert,3.8
68,18,Non-binary,History,Low,Couple,Rome,Italy,"Ancient Ruins, Museums",Mediterranean,4.8
69,28,Male,Photography,Low,Family,Paris,France,"Landmarks, Museums",Mild,4
70,39,Male,Music Festivals,Low,Group,Austin,USA,"Live Music, Festivals",Warm,4
71,35,Non-binary,Hiking,Low,Family,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,4.5
72,57,Female,Wildlife,Medium,Family,Nairobi,Kenya,"Safari, Nature Parks",Savannah,4.2
73,33,Female,Beaches,Low,Solo,Bali,Indonesia,"Surfing, Relaxing",Tropical,4.5
74,45,Male,Beaches,High,Business,Phuket,Thailand,"Island Hopping, Beaches",Tropical,3.1
75,18,Female,Foodie,Medium,Solo,Bangkok,Thailand,"Street Food, Markets",Tropical,4.2
76,42,Male,Wildlife,High,Group,Nairobi,Kenya,"Safari, Nature Parks",Savannah,4.7
77,34,Female,Photography,High,Solo,Kyoto,Japan,"Temples, Street Photography",Temperate,3.9
78,38,Female,Beaches,High,Couple,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,4
79,33,Female,History,High,Business,Athens,Greece,"Historical Sites, Cultural Tours",Warm,4
80,50,Non-binary,Wildlife,High,Solo,Borneo,Malaysia,"Rainforest Tours, Wildlife Watching",Rainforest,4.2
81,21,Female,Beaches,Medium,Couple,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,4.3
82,37,Female,Photography,Medium,Group,Santorini,Greece,"Sunsets, Scenic Views",Warm,5
83,45,Male,Beaches,Low,Solo,Phuket,Thailand,"Island Hopping, Beaches",Tropical,4.1
84,49,Male,Art,Low,Solo,New York,USA,"Museums, Street Art",Varied,4.4
85,18,Male,History,High,Couple,Beijing,China,"Great Wall, Palaces",Temperate,4.7
86,30,Female,Beaches,High,Group,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,4.7
